,author,comment,published_at,Number_of_likes
529,@antnioaeuclides7991,ASDAaFaGAHJKLPOIUYRWQ❣️🐮🦓🦓🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌,2022-08-21T16:17:23Z,0
530,@heriyadiheriyadi1936,The  first  time 😲,2022-08-21T12:57:59Z,0
531,@funnyanimals2306,Ô tô kiều gì vậy🤣🤣🤣,2022-08-21T01:34:59Z,0
532,@teclanafula8323,🏇🏇🏇🏇🏇,2022-08-20T12:57:04Z,0
533,@brwanono,I’m jeyngnh 129736 👗👡👑💍👛🦄🌹🌈🍎🍌🍓🥞🍔🍕🌭🍗🥪🧇,2022-08-20T11:34:29Z,0
534,@yessky4854,And wtf why would there be these thingeys tryna crush me??,2022-08-20T08:30:29Z,0
535,@funnyanimals2306,Cái gì vậy😂😂😂,2022-08-20T01:23:23Z,1
536,@habijvn6818,¿??,2022-08-19T05:06:07Z,0
537,@simanosman549,Hhh très drôle,2022-08-18T19:14:57Z,1
538,@PankajKumar-io5rn,Phle road to bna lo,2022-08-18T07:16:19Z,3
539,@JimmyWangC8763,這麼會幻想喔？,2022-08-16T05:34:46Z,0
540,@cutecreature_san,Worest,2022-08-15T05:49:00Z,0
541,@vanapallilakshmidevi2785,😬🤜,2022-08-14T08:46:03Z,0
542,@mmayank662,Grafics: meri saktiyo ka galat istimal ho raha hai ma,2022-08-14T08:39:07Z,5
543,@youjustgotrickrolled8149,Bro was drunk while making this video,2022-08-13T18:28:06Z,88
544,@sainttilusdjephena7115,Con,2022-08-13T03:11:46Z,0
545,@sainttilusdjephena7115,Dar un permiso al valle,2022-08-13T03:11:37Z,0
546,@CheetosNo1,작작해라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2022-08-13T02:41:28Z,0
547,@bikevideos6440,Dai editing  vera Mari 🤬🤬🤬🤬🤬🤬😡😡,2022-08-11T11:39:59Z,1
548,@林秋怡-m6d,？,2022-08-11T07:18:25Z,1
549,@cleonicemaria5873,Fake news demais,2022-08-10T16:16:01Z,0
550,@Legendarymapping2196,Khaby lame..... please roast the person who made it,2022-08-09T14:07:25Z,2
551,@rockstardone6324,गलत फीचर है,2022-08-09T10:24:55Z,0
552,@DaudKhan2012,im well be done aboute its?,2022-08-08T19:58:03Z,1
553,@zhen.6178,服了你個老六🌚👍,2022-08-08T19:17:22Z,0
554,@tharakram3799,Purtepic,2022-08-08T14:36:30Z,0
555,@اريام-ذ2ش,.؟🤣🤣,2022-08-08T04:40:59Z,0
556,@ednafelema9026,11000000000000000000000000000000000000,2022-08-07T23:01:49Z,1
557,@jaskaran04,Bhen chodo Tati technology scratch pad gye or,2022-08-07T17:59:33Z,0
558,@angelamariaverarojo5544,Fqerrhtseertddabrewbeebqwbumyoyeenewbwwbegbtnhiylotlim3rwnwherrntrnwgwwgdcccmfsjr2bwnrytmirmrebewbewbesbqwbjtmutmptñirmyebrbwevqqgerbrwbrutmywbrrkutmk,2022-08-07T17:05:45Z,0
559,@gracegyau5146,There was no point cus it stopped anyway!!,2022-08-07T14:29:03Z,0
560,@kenan_arsyakha_Nugraha,Bang itu anak kecil lempar aja  ke  got,2022-08-07T12:38:56Z,0
561,@RedType1,Wtf,2022-08-07T06:20:49Z,5
562,@Rar-w3z,What time f***k,2022-08-07T03:48:54Z,0
563,@dhanbirsingh8715,Ambulance ko roknha,2022-08-07T03:13:24Z,1
564,@dainguyenxuan3213,❤️❤️❤️,2022-08-07T02:29:50Z,3
565,@tang529,怕死的就不是國軍最怕死的就是共產黨不直接開戰整天在那邊演習整天在海邊玩小鳥還是繼續搞一個村莊幹一個女人好了哈哈親愛的東哥你也跟你祖國講一下要馬開戰不要在海邊打手槍。,2022-08-07T00:10:39Z,0
566,@sofiaapsatha9116,"What fake
Like 
👇
👇
👇",2022-08-06T18:49:41Z,0
567,@ajjubhailovelyajjubhailove8873,😍😍😍😍😍🏃💨🚃💨💨,2022-08-06T07:37:11Z,0
568,@janakudlackova1801,😀😀😀😀😀😀😀😀😀,2022-08-06T07:18:36Z,0
569,@Amdfan69420,"If brain didn’t
Existed yet in 2050 but technology exist",2022-08-06T04:35:45Z,0
570,@phatquan1976,xam vl,2022-08-05T09:36:36Z,0
571,@jefrialghany8572,Edit,2022-08-05T08:28:36Z,1
